warmup=0  skip_sdma0=1

=== load: carregando checkpoint (ainda sem tracer) ===
    carregado em 6.0s

=== clip: encode do prompt ===
   124 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   125 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   126 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   127 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   128 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   129 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   130 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   131 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   132 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   133 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   134 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   135 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   136 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   137 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   138 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   139 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   140 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   141 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   142 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   143 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   144 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   145 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   146 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   147 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   148 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   149 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   150 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   151 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   152 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   153 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   154 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   155 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   156 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   157 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   158 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   159 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   160 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   161 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   162 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   163 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   164 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   165 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   166 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   167 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   168 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   169 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   170 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   171 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   172 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   173 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   174 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   175 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   176 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   177 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   178 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   179 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   180 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   181 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   182 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   183 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   184 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   185 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   186 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   187 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   188 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   189 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   190 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   191 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   192 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   193 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   194 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   195 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   196 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   197 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   198 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   199 [clip        ] ANTES  aten.detach.default                          (49408, 768):float16:cpu
   200 [clip        ] ANTES  aten.detach.default                          (77, 768):float16:cpu
   201 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   202 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   203 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   204 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   205 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   206 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   207 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   208 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   209 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   210 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   211 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   212 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   213 [clip        ] ANTES  aten.detach.default                          (3072, 768):float16:cpu
   214 [clip        ] ANTES  aten.detach.default                          (3072,):float16:cpu
   215 [clip        ] ANTES  aten.detach.default                          (768, 3072):float16:cpu
   216 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   217 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   218 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   219 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   220 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   221 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   222 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   223 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   224 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   225 [clip        ] ANTES  aten.detach.default                          (768, 768):float16:cpu
   226 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   227 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
   228 [clip        ] ANTES  aten.detach.default                          (768,):float16:cpu
