14	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
14	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
14	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
15	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
15	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
15	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
15	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
15	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
15	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
15	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
15	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
15	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
15	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
16	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
16	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
16	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
16	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
16	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
16	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
16	B10485760	10485760	0x7fbd95c00000	0x173000000	A8028160	0x46d800000
16	B6922240	6922240	0x7fbd95200000	0x172800000	A10485760	0x469000000
16	B5898240	5898240	0x7fbd94a00000	0x172400000	A5898240	0x46d400000
16	B2621440	2621440	0x7fbd94400000	0x172000000	A2621440	0x46a800000
17	A8028160	8028160	0x7fbd9da00000	0x46d800000	?	?
17	A10485760	10485760	0x7fbd9ce00000	0x469000000	A6922240	0x171000000
17	A6922240	6922240	0x7fbd9c400000	0x171000000	B10485760	0x173000000
17	A5898240	5898240	0x7fbd97800000	0x46d400000	B5898240	0x172400000
17	A2621440	2621440	0x7fbd97200000	0x46a800000	B6922240	0x172800000
17	B8028160	8028160	0x7fbd96800000	0x173800000	B2621440	0x172000000
